1	2	3
1	4	12
1	7	5
1	10	18
1	11	6
1	15	6
1	16	13
1	17	2
1	20	15
1	23	19
1	29	12
2	1	7
2	3	8
2	11	2
2	17	4
2	19	3
2	29	18
2	30	19
3	1	14
3	2	4
3	4	20
3	17	6
3	21	2
3	24	5
3	28	14
4	3	34
4	5	2
4	7	13
4	23	20
5	4	14
5	6	20
5	10	7
5	21	9
5	24	7
5	25	6
5	29	15
6	3	5
6	5	16
6	7	9
6	12	1
6	13	18
6	15	19
6	19	14
6	20	2
6	21	20
6	27	9
6	28	10
7	5	20
7	6	1
7	8	5
7	11	11
7	14	4
7	26	8
7	27	3
7	28	2
8	7	2
8	9	10
8	10	9
8	17	17
8	22	15
8	23	8
8	27	12
9	6	8
9	8	17
9	10	7
9	11	5
9	14	1
9	19	14
9	26	17
10	7	12
10	9	2
10	11	16
10	23	20
10	25	10
10	28	9
10	29	5
11	7	13
11	8	4
11	10	12
11	12	4
11	18	4
11	21	6
11	25	4
11	30	19
12	1	14
12	9	18
12	11	8
12	13	10
12	16	3
12	17	16
12	20	14
12	28	7
12	30	17
13	5	18
13	9	16
13	12	9
13	14	3
13	27	20
13	29	14
14	5	20
14	9	16
14	12	7
14	13	19
14	15	17
14	19	1
14	25	14
15	3	2
15	5	2
15	10	12
15	14	15
15	16	10
15	18	8
15	20	13
15	21	2
15	25	4
15	28	10
15	30	3
16	3	12
16	4	11
16	5	7
16	13	12
16	15	12
16	17	8
16	18	12
16	21	18
16	23	15
16	26	18
16	30	19
17	4	2
17	7	17
17	10	20
17	15	8
17	16	3
17	18	2
17	20	9
17	21	20
17	28	18
18	2	20
18	4	19
18	6	16
18	16	11
18	17	4
18	19	14
18	21	19
18	22	4
18	30	14
19	7	10
19	9	10
19	13	16
19	18	5
19	20	18
19	26	6
19	30	5
20	1	18
20	2	3
20	6	15
20	7	19
20	8	16
20	13	14
20	19	12
20	21	3
20	24	9
20	26	20
20	30	5
21	2	20
21	3	12
21	5	15
21	8	2
21	10	16
21	12	3
21	14	10
21	16	16
21	17	11
21	18	9
21	20	18
21	22	11
21	26	3
21	27	16
22	2	14
22	3	8
22	4	2
22	9	7
22	10	20
22	11	4
22	12	19
22	17	5
22	21	12
22	23	15
22	24	1
22	25	11
23	1	13
23	3	2
23	5	19
23	9	3
23	22	2
23	24	16
24	7	16
24	8	20
24	23	3
24	25	20
24	29	13
25	24	7
25	26	5
25	28	1
26	2	19
26	4	4
26	15	12
26	18	4
26	20	1
26	25	5
26	27	15
26	28	17
27	2	13
27	8	14
27	9	5
27	12	13
27	13	11
27	15	7
27	20	4
27	21	11
27	26	9
27	28	10
28	3	5
28	7	11
28	10	20
28	27	8
28	29	9
29	8	5
29	9	12
29	11	15
29	14	17
29	20	8
29	26	3
29	28	5
29	30	6
30	2	3
30	5	18
30	7	8
30	8	10
30	9	12
30	15	6
30	26	2
30	28	4
30	29	16
